feature
position_count
total_volume
holding_seconds
max_layers
add_on_count
initial_volume
add_on_spacing_minutes_mean
add_on_spacing_minutes_min
add_on_spacing_minutes_max
add_on_spacing_price_abs_mean
add_on_spacing_price_abs_min
add_on_spacing_price_abs_max
max_volume_multiplier_vs_initial
close_span_minutes
closed_together_within_1m
broker_entry_hour
broker_entry_weekday
broker_entry_month
broker_entry_minute_mod_15
broker_entry_second
broker_entry_is_friday
utc_entry_hour_est
utc_entry_weekday_est
utc_entry_month_est
utc_entry_in_asia_est
utc_entry_in_london_est
utc_entry_in_newyork_est
m15_tick_volume
m15_spread
m15_real_volume
m15_body_points
m15_body_abs_points
m15_range_points
m15_upper_wick_points
m15_lower_wick_points
m15_body_to_range
m15_momentum_1_close_points
m15_breakout_above_recent_high_1_points
m15_breakout_below_recent_low_1_points
m15_momentum_2_close_points
m15_breakout_above_recent_high_2_points
m15_breakout_below_recent_low_2_points
m15_momentum_4_close_points
m15_breakout_above_recent_high_4_points
m15_breakout_below_recent_low_4_points
m15_momentum_8_close_points
m15_breakout_above_recent_high_8_points
m15_breakout_below_recent_low_8_points
m15_momentum_16_close_points
m15_breakout_above_recent_high_16_points
m15_breakout_below_recent_low_16_points
m15_momentum_32_close_points
m15_breakout_above_recent_high_32_points
m15_breakout_below_recent_low_32_points
m15_atr_14
m15_range_atr_14_ratio
m15_atr_14_percentile_252
m15_ema_8_slope_4
m15_close_distance_to_ema_8
m15_ema_21_slope_4
m15_close_distance_to_ema_21
m15_ema_50_slope_4
m15_close_distance_to_ema_50
m15_rsi_14
m15_adx_14
m15_dmp_14
m15_dmn_14
m15_macd_12_26_9
m15_macd_hist_12_26_9
m15_macd_signal_12_26_9
entry_price_position_in_m15_range
entry_price_distance_to_m15_ema_8
entry_price_distance_to_m15_ema_21
entry_price_distance_to_m15_ema_50
m15_momentum_1_directional_points
m15_momentum_2_directional_points
m15_momentum_4_directional_points
m15_momentum_8_directional_points
m15_momentum_16_directional_points
m15_momentum_32_directional_points
m1_path_bar_count
m1_mfe_points
m1_mae_points
m1_net_exit_move_points
m1_time_to_mfe_minutes
m1_time_to_mae_minutes
m1_spread_mean
m1_spread_max
m1_tick_volume_sum
m1_tick_volume_mean
holding_minutes
m1_mfe_atr_14
m1_mae_atr_14
direction_sign
