strategy,open_layer_count_at_exit,basket_count,cross_found_count,cross_found_pct,within_0m_pct,within_1m_pct,within_5m_pct,lag_median,lag_q75,lag_q90,variant
T3/S06,3,6,1,16.666666666666664,0.0,0.0,0.0,1272.0,1272.0,1272.0,close_q25
T3/S06,4,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,5,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,6,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,7,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,12,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,16,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T3/S06,188,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,1,21,21,100.0,0.0,61.904761904761905,80.95238095238095,1.0,2.0,8.0,close_q25
T4/S08,2,7,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,3,8,8,100.0,0.0,75.0,100.0,1.0,1.25,2.5999999999999996,close_q25
T4/S08,4,7,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,5,4,1,25.0,0.0,0.0,0.0,127.0,127.0,127.0,close_q25
T4/S08,6,3,1,33.33333333333333,0.0,0.0,0.0,86.0,86.0,86.0,close_q25
T4/S08,8,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,14,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,15,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,20,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T4/S08,21,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,1,38,32,84.21052631578947,21.875,90.625,90.625,1.0,1.0,1.0,close_q25
T5/S09,2,8,8,100.0,0.0,62.5,100.0,1.0,2.0,2.0,close_q25
T5/S09,3,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,4,6,1,16.666666666666664,0.0,0.0,0.0,298.0,298.0,298.0,close_q25
T5/S09,5,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,6,6,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,9,6,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,10,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,12,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S09,24,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,1,62,51,82.25806451612904,1.9607843137254901,11.76470588235294,21.568627450980394,45.0,173.5,334.0,close_q25
T5/S10,2,13,12,92.3076923076923,8.333333333333332,8.333333333333332,16.666666666666664,66.0,435.0,1065.6000000000001,close_q25
T5/S10,3,6,2,33.33333333333333,0.0,0.0,0.0,580.5,629.25,658.5,close_q25
T5/S10,4,7,4,57.14285714285714,0.0,0.0,0.0,687.0,830.0,997.4000000000001,close_q25
T5/S10,5,3,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,6,5,1,20.0,0.0,0.0,0.0,3445.0,3445.0,3445.0,close_q25
T5/S10,7,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,8,6,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,9,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,13,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,20,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T5/S10,28,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,1,61,59,96.72131147540983,6.779661016949152,89.83050847457628,94.91525423728814,1.0,1.0,1.2000000000000028,close_q25
T6/S12,2,29,29,100.0,3.4482758620689653,68.96551724137932,86.20689655172413,1.0,2.0,12.79999999999998,close_q25
T6/S12,3,11,11,100.0,0.0,54.54545454545454,100.0,1.0,2.0,4.0,close_q25
T6/S12,4,18,18,100.0,0.0,66.66666666666666,83.33333333333334,1.0,2.75,12.200000000000003,close_q25
T6/S12,5,11,10,90.9090909090909,20.0,80.0,80.0,1.0,1.0,1477.0,close_q25
T6/S12,6,13,10,76.92307692307693,50.0,90.0,90.0,0.5,1.0,172.0999999999994,close_q25
T6/S12,7,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,8,4,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,9,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,10,5,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,12,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,15,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,16,1,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,18,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,21,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T6/S12,25,2,0,0.0,0.0,0.0,0.0,,,,close_q25
T1/S01,1,211,127,60.18957345971564,27.559055118110237,72.44094488188976,77.16535433070865,1.0,3.5,292.80000000000007,close_median
T1/S01,2,101,63,62.37623762376238,26.984126984126984,79.36507936507937,82.53968253968253,1.0,1.0,107.20000000000014,close_median
T1/S01,3,40,21,52.5,23.809523809523807,66.66666666666666,66.66666666666666,1.0,10.0,228.0,close_median
T1/S01,4,31,18,58.06451612903226,33.33333333333333,61.111111111111114,66.66666666666666,1.0,46.5,327.3000000000001,close_median
T1/S01,5,9,5,55.55555555555556,60.0,60.0,60.0,0.0,6.0,37.2,close_median
T1/S01,6,19,16,84.21052631578947,25.0,68.75,68.75,1.0,7.25,192.5,close_median
T1/S01,7,9,4,44.44444444444444,50.0,50.0,50.0,7.5,60.0,141.00000000000003,close_median
T1/S01,8,12,6,50.0,50.0,100.0,100.0,0.5,1.0,1.0,close_median
T1/S01,9,5,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,10,4,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,11,2,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,12,1,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,15,4,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,16,4,1,25.0,0.0,0.0,0.0,266.0,266.0,266.0,close_median
T1/S01,18,1,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,20,1,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,24,1,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,27,2,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,31,1,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,72,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,1,153,101,66.01307189542483,21.782178217821784,72.27722772277228,76.23762376237624,1.0,3.0,67.0,close_median
T2/S03,2,55,36,65.45454545454545,27.77777777777778,69.44444444444444,72.22222222222221,1.0,8.5,148.0,close_median
T2/S03,3,34,19,55.88235294117647,31.57894736842105,89.47368421052632,94.73684210526315,1.0,1.0,1.1999999999999993,close_median
T2/S03,4,13,9,69.23076923076923,55.55555555555556,77.77777777777779,77.77777777777779,0.0,1.0,72.00000000000004,close_median
T2/S03,5,15,11,73.33333333333333,27.27272727272727,90.9090909090909,90.9090909090909,1.0,1.0,1.0,close_median
T2/S03,6,11,6,54.54545454545454,33.33333333333333,100.0,100.0,1.0,1.0,1.0,close_median
T2/S03,7,3,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,8,10,5,50.0,0.0,60.0,100.0,1.0,5.0,5.0,close_median
T2/S03,9,2,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,10,4,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,11,3,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,12,4,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,14,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,15,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,16,5,1,20.0,0.0,0.0,0.0,45.0,45.0,45.0,close_median
T2/S03,17,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,18,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,28,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S03,40,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,1,182,121,66.48351648351648,14.049586776859504,94.21487603305785,95.86776859504133,1.0,1.0,1.0,close_median
T2/S04,2,48,28,58.333333333333336,42.857142857142854,96.42857142857143,96.42857142857143,1.0,1.0,1.0,close_median
T2/S04,3,41,34,82.92682926829268,20.588235294117645,91.17647058823529,94.11764705882352,1.0,1.0,1.0,close_median
T2/S04,4,33,18,54.54545454545454,66.66666666666666,94.44444444444444,94.44444444444444,0.0,1.0,1.0,close_median
T2/S04,5,19,12,63.1578947368421,50.0,100.0,100.0,0.5,1.0,1.0,close_median
T2/S04,6,24,18,75.0,33.33333333333333,94.44444444444444,100.0,1.0,1.0,1.0,close_median
T2/S04,7,5,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,8,5,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,9,3,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,10,2,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,12,5,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,15,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,16,2,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,18,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,20,2,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,21,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,24,2,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,30,1,0,0.0,0.0,0.0,0.0,,,,close_median
T2/S04,39,1,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,1,62,40,64.51612903225806,20.0,90.0,95.0,1.0,1.0,1.1000000000000014,close_median
T3/S06,2,14,7,50.0,57.14285714285714,100.0,100.0,0.0,1.0,1.0,close_median
T3/S06,3,6,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,4,5,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,5,3,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,6,4,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,7,1,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,12,2,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,16,1,0,0.0,0.0,0.0,0.0,,,,close_median
T3/S06,188,1,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,1,21,14,66.66666666666666,35.714285714285715,92.85714285714286,92.85714285714286,1.0,1.0,1.0,close_median
T4/S08,2,7,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,3,8,8,100.0,0.0,100.0,100.0,1.0,1.0,1.0,close_median
T4/S08,4,7,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,5,4,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,6,3,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,8,4,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,14,1,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,15,1,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,20,1,0,0.0,0.0,0.0,0.0,,,,close_median
T4/S08,21,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,1,38,24,63.1578947368421,41.66666666666667,87.5,87.5,1.0,1.0,5.199999999999996,close_median
T5/S09,2,8,4,50.0,25.0,100.0,100.0,1.0,1.0,1.0,close_median
T5/S09,3,2,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,4,6,1,16.666666666666664,0.0,0.0,0.0,298.0,298.0,298.0,close_median
T5/S09,5,2,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,6,6,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,9,6,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,10,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,12,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S09,24,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,1,62,37,59.67741935483871,2.7027027027027026,21.62162162162162,35.13513513513514,18.0,83.0,159.59999999999994,close_median
T5/S10,2,13,7,53.84615384615385,28.57142857142857,28.57142857142857,42.857142857142854,11.0,228.0,421.6,close_median
T5/S10,3,6,1,16.666666666666664,0.0,0.0,0.0,670.0,670.0,670.0,close_median
T5/S10,4,7,2,28.57142857142857,0.0,0.0,0.0,780.5,940.25,1036.1,close_median
T5/S10,5,3,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,6,5,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,7,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,8,6,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,9,2,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,13,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,20,1,0,0.0,0.0,0.0,0.0,,,,close_median
T5/S10,28,1,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,1,61,39,63.934426229508205,25.64102564102564,94.87179487179486,94.87179487179486,1.0,1.0,1.0,close_median
T6/S12,2,29,19,65.51724137931035,52.63157894736842,94.73684210526315,94.73684210526315,0.0,1.0,1.0,close_median
T6/S12,3,11,8,72.72727272727273,12.5,100.0,100.0,1.0,1.0,1.0,close_median
T6/S12,4,18,12,66.66666666666666,33.33333333333333,91.66666666666666,91.66666666666666,1.0,1.0,1.0,close_median
T6/S12,5,11,9,81.81818181818183,22.22222222222222,100.0,100.0,1.0,1.0,1.0,close_median
T6/S12,6,13,6,46.15384615384615,50.0,100.0,100.0,0.5,1.0,1.0,close_median
T6/S12,7,2,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,8,4,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,9,2,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,10,5,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,12,2,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,15,1,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,16,1,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,18,2,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,21,2,0,0.0,0.0,0.0,0.0,,,,close_median
T6/S12,25,2,0,0.0,0.0,0.0,0.0,,,,close_median
T1/S01,1,211,206,97.6303317535545,5.339805825242718,55.8252427184466,73.7864077669903,1.0,6.0,114.0,touch_q25
T1/S01,2,101,101,100.0,2.9702970297029703,46.53465346534654,73.26732673267327,2.0,7.0,121.0,touch_q25
T1/S01,3,40,39,97.5,2.564102564102564,35.8974358974359,53.84615384615385,2.0,48.0,323.0000000000008,touch_q25
T1/S01,4,31,31,100.0,6.451612903225806,38.70967741935484,64.51612903225806,2.0,18.0,270.0,touch_q25
T1/S01,5,9,8,88.88888888888889,25.0,50.0,50.0,12.0,115.0,1116.0999999999995,touch_q25
T1/S01,6,19,19,100.0,5.263157894736842,31.57894736842105,57.89473684210527,4.0,31.0,403.79999999999984,touch_q25
T1/S01,7,9,9,100.0,11.11111111111111,55.55555555555556,55.55555555555556,1.0,15.0,341.2000000000001,touch_q25
T1/S01,8,12,10,83.33333333333334,40.0,80.0,90.0,1.0,1.0,3.4999999999999982,touch_q25
T1/S01,9,5,1,20.0,0.0,0.0,0.0,2979.0,2979.0,2979.0,touch_q25
T1/S01,10,4,1,25.0,0.0,0.0,0.0,583.0,583.0,583.0,touch_q25
T1/S01,11,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,12,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,15,4,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,16,4,2,50.0,0.0,0.0,0.0,138.5,202.25,240.5,touch_q25
T1/S01,18,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,20,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,24,1,1,100.0,0.0,0.0,0.0,2955.0,2955.0,2955.0,touch_q25
T1/S01,27,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,31,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T1/S01,72,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,1,153,149,97.38562091503267,1.342281879194631,44.966442953020135,69.12751677852349,2.0,11.0,73.80000000000032,touch_q25
T2/S03,2,55,54,98.18181818181819,1.8518518518518516,27.77777777777778,61.111111111111114,4.0,23.25,207.90000000000015,touch_q25
T2/S03,3,34,34,100.0,0.0,67.64705882352942,82.35294117647058,1.0,2.75,13.499999999999996,touch_q25
T2/S03,4,13,13,100.0,15.384615384615385,23.076923076923077,46.15384615384615,6.0,27.0,225.20000000000016,touch_q25
T2/S03,5,15,15,100.0,0.0,33.33333333333333,60.0,3.0,6.5,247.39999999999986,touch_q25
T2/S03,6,11,11,100.0,18.181818181818183,81.81818181818183,90.9090909090909,1.0,1.0,2.0,touch_q25
T2/S03,7,3,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,8,10,10,100.0,0.0,20.0,60.0,4.0,12.75,188.89999999999998,touch_q25
T2/S03,9,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,10,4,2,50.0,0.0,0.0,0.0,324.0,324.5,324.8,touch_q25
T2/S03,11,3,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,12,4,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,14,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,15,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,16,5,2,40.0,0.0,0.0,0.0,169.5,230.75,267.5,touch_q25
T2/S03,17,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,18,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,28,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S03,40,1,1,100.0,0.0,0.0,0.0,827.0,827.0,827.0,touch_q25
T2/S04,1,182,182,100.0,1.6483516483516485,39.56043956043956,74.72527472527473,2.0,5.75,19.900000000000006,touch_q25
T2/S04,2,48,48,100.0,0.0,35.41666666666667,56.25,3.0,39.5,117.60000000000001,touch_q25
T2/S04,3,41,41,100.0,0.0,46.34146341463415,78.04878048780488,2.0,4.0,68.0,touch_q25
T2/S04,4,33,33,100.0,6.0606060606060606,54.54545454545454,66.66666666666666,1.0,7.0,29.400000000000013,touch_q25
T2/S04,5,19,19,100.0,0.0,31.57894736842105,73.68421052631578,2.0,6.5,27.99999999999996,touch_q25
T2/S04,6,24,24,100.0,4.166666666666666,66.66666666666666,87.5,1.0,2.0,50.59999999999995,touch_q25
T2/S04,7,5,2,40.0,0.0,0.0,0.0,671.5,949.75,1116.7,touch_q25
T2/S04,8,5,1,20.0,0.0,0.0,0.0,63.0,63.0,63.0,touch_q25
T2/S04,9,3,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,10,2,2,100.0,0.0,0.0,0.0,96.5,136.75,160.9,touch_q25
T2/S04,12,5,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,15,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,16,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,18,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,20,2,1,50.0,0.0,0.0,0.0,334.0,334.0,334.0,touch_q25
T2/S04,21,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,24,2,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,30,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T2/S04,39,1,0,0.0,0.0,0.0,0.0,,,,touch_q25
T3/S06,1,62,60,96.7741935483871,8.333333333333332,55.00000000000001,75.0,1.0,5.25,18.500000000000007,touch_q25
T3/S06,2,14,13,92.85714285714286,7.6923076923076925,69.23076923076923,84.61538461538461,1.0,2.0,91.00000000000009,touch_q25
