basket_id,target_mode,entry_hour,entry_minute,mfe_5m,mae_5m,mfe_30m,mae_30m,add_ons_30m,max_layers_30m,early_adverse_max,path_mfe,path_mae,observed_minutes
1384,quick_low,22,0,0.11000000000012733,-0.4699999999997999,0.48000000000024556,-0.4699999999997999,0,1,0.37000000000011823,2.040000000000191,-0.4699999999997999,55.0
1385,overnight_medium,22,20,0.14999999999986358,-0.40000000000009095,0.7100000000000364,-0.5299999999999727,0,1,0.5299999999999727,1.349999999999909,-0.5299999999999727,196.0
1386,overnight_medium,22,0,0.819999999999709,-0.2500000000002274,0.8699999999996635,-0.29000000000041837,0,1,0.290000000000191,3.680000000000291,-3.2600000000004457,235.0
1387,overnight_medium,22,10,-0.31999999999993634,-1.0399999999999636,-0.31999999999993634,-2.019999999999982,0,1,2.019999999999982,2.0599999999999454,-2.1900000000000546,3156.0
1388,overnight_medium,22,0,-0.4500000000000455,-0.7599999999999909,-0.10999999999989996,-1.0599999999999454,0,1,1.0599999999999454,0.30999999999994543,-2.339999999999918,309.0
1389,late_high,5,11,-0.2699999999999818,-1.290000000000191,0.01999999999998181,-1.290000000000191,0,1,1.290000000000191,4.329999999999927,-3.0,562.0
1390,overnight_medium,22,30,-0.2899999999999636,-0.5299999999999727,-0.2899999999999636,-1.150000000000091,0,1,1.150000000000091,0.5699999999999363,-1.8699999999998909,3192.0
1391,late_high,7,46,0.5099999999999909,-0.05999999999994543,0.6600000000000819,-0.05999999999994543,0,1,0.0,3.5850000000000364,-6.740000000000009,752.0
1392,timeout_loss,22,30,0.12000000000011823,-0.30999999999994543,0.12000000000011823,-1.8299999999999272,0,1,1.8299999999999272,0.16000000000008185,-1.8299999999999272,236.0
1393,late_high,4,1,0.12000000000011823,-0.4699999999997999,0.3100000000001728,-1.740000000000009,0,1,1.740000000000009,3.77666666666687,-4.764999999999873,680.0
1394,quick_low,22,20,-0.040000000000190994,-0.5200000000002092,0.6999999999998181,-0.5200000000002092,0,1,0.5200000000002092,0.8999999999998636,-0.5200000000002092,38.0
1395,mixed_other,22,10,-0.2800000000002001,-0.39000000000010004,0.30999999999971806,-0.5300000000002001,0,1,0.5299999999999727,2.3466666666665787,-9.503999999999905,3556.0
1396,overnight_medium,22,0,-0.14000000000010004,-0.6099999999999,-0.049999999999954525,-0.6600000000000819,0,1,0.6600000000000819,0.6199999999998909,-2.2100000000000364,3063.0
1397,late_high,10,45,-0.2799999999999727,-0.3300000000001546,-0.17000000000007276,-0.7000000000000455,0,1,0.7000000000000455,3.5499999999999545,-3.650000000000091,1466.0
1398,mixed_other,22,0,-0.3400000000001455,-0.6400000000001,-0.3400000000001455,-1.7100000000000364,0,1,1.7100000000000364,2.426666666666506,-4.7800000000002,1223.0
1399,overnight_medium,22,0,-0.18000000000006366,-0.19000000000005457,0.4700000000000273,-0.19000000000005457,0,1,0.19000000000005457,2.3299999999999272,-0.9300000000000637,3188.0
1400,overnight_medium,22,0,0.209999999999809,-0.2300000000000182,1.009999999999991,-0.2300000000000182,0,1,0.2300000000000182,1.8599999999999,-0.2300000000000182,245.0
1401,overnight_medium,22,20,-0.17000000000007276,-0.2699999999999818,0.11999999999989086,-0.2699999999999818,0,1,0.2699999999999818,2.089999999999918,-1.3600000000001273,387.0
1402,overnight_medium,22,0,-0.37999999999988177,-0.7899999999999636,-0.37999999999988177,-1.740000000000009,0,1,1.740000000000009,2.0699999999999363,-2.1800000000000637,328.0
1403,quick_low,22,0,0.3500000000001364,-0.01999999999998181,1.6200000000001182,-0.049999999999954525,0,1,0.049999999999954525,1.6200000000001182,-0.049999999999954525,29.0
1404,late_high,6,24,-0.11999999999989086,-0.31999999999993634,-0.11999999999989086,-1.8999999999998636,0,1,1.8999999999998636,5.069999999999936,-3.519999999999982,580.0
1405,overnight_medium,22,50,0.0,-0.20000000000004547,0.37999999999988177,-0.20000000000004547,0,1,0.20000000000004547,1.2299999999997908,-0.20000000000004547,4475.0
1406,mixed_other,22,30,0.15000000000009095,-0.10999999999989996,0.15000000000009095,-0.35999999999989996,0,1,0.35999999999989996,2.1266666666665515,-5.463333333333367,3767.0
1407,timeout_loss,22,0,-0.029999999999972715,-0.599999999999909,-0.029999999999972715,-0.9900000000000091,0,1,0.9900000000000091,-0.009999999999990905,-0.9900000000000091,40.0
1408,overnight_medium,22,0,-0.16000000000008185,-0.4700000000000273,1.5299999999999727,-0.4700000000000273,0,1,0.4700000000000273,1.5299999999999727,-2.040000000000191,388.0
1409,late_high,6,17,-0.3100000000001728,-0.5100000000002183,-0.3100000000001728,-1.6800000000000637,0,1,1.6800000000000637,3.5699999999999363,-1.6800000000000637,226.0
1410,quick_low,22,30,1.0700000000001637,-0.25,1.9500000000000455,-0.25,0,1,0.25,1.9500000000000455,-0.25,10.0
1411,quick_low,22,0,0.17000000000007276,-1.5399999999999636,0.9900000000000091,-1.5899999999999181,0,1,1.5899999999999181,0.9900000000000091,-1.5899999999999181,39.0
