mode,strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
all_background,T1/S01,fisher_9,0.8863933438581275,0.3863933438581275,high,2.5787696090622885,0.09707215488195492,196,72288
all_background,T1/S01,fisher_14,0.8845898222604067,0.3845898222604067,high,2.7003868034848777,0.12458457506483829,196,72283
all_background,T1/S01,adx_7_dmn_7,0.12396230037180178,0.3760376996281982,low,8.19070888725032,20.027487324937923,196,72290
all_background,T1/S01,wma_8_minus_wma_21,0.8697573064590273,0.36975730645902727,high,1.449742063492181,0.03586038961043414,196,72276
all_background,T1/S01,wma_21_slope_4,0.8692454850270859,0.3692454850270859,high,1.2685930735930242,0.029350649350590174,196,72272
all_background,T1/S01,ema_8_slope_4,0.8655273273451318,0.3655273273451318,high,1.4224225436687448,0.034577542015313156,196,72285
all_background,T1/S01,close_minus_sma_21,0.8605028513148578,0.3605028513148578,high,3.138571428571254,0.07999999999992724,196,72276
all_background,T1/S01,wma_8_slope_4,0.8589820551586478,0.3589820551586478,high,1.637083333333294,0.030277777777882875,196,72285
all_background,T1/S01,sma_8_slope_4,0.8544284740250117,0.35442847402501165,high,1.5606250000000728,0.03125,196,72285
all_background,T1/S01,ema_21_slope_4,0.8541232978137017,0.35412329781370167,high,1.1010931325308775,0.02878300491158825,196,72272
all_background,T1/S01,cci_20,0.8528308607502938,0.3528308607502938,high,130.52911494362235,6.360931568681925,196,72277
all_background,T1/S01,sma_8_minus_sma_21,0.8518402317759247,0.3518402317759247,high,1.9442261904763427,0.04925595238103142,196,72276
all_background,T1/S01,hma_32_slope_4,0.8497745999045921,0.34977459990459214,high,1.755829768270928,0.03998284313752265,196,72257
all_background,T1/S01,adx_14_dmn_14,0.15178880234633318,0.3482111976536668,low,11.974642460796911,20.712161517315348,196,72283
all_background,T1/S01,adx_7_dmp_7,0.8467794823005975,0.3467794823005975,high,33.25594262374834,19.551814083731628,196,72290
all_background,T1/S01,close_minus_wma_21,0.8458323662355529,0.3458323662355529,high,2.2056277056277622,0.0571861471861439,196,72276
all_background,T1/S01,cmo_9,0.8418196895425067,0.34181968954250674,high,49.43243739360378,1.4164305949027476,196,72287
all_background,T1/S01,rsi_8,0.8417217977951879,0.34172179779518785,high,68.75942217742278,50.70883517049786,196,72289
all_background,T1/S01,cmo_14,0.8397650938021095,0.3397650938021095,high,40.63487736650988,1.2871854600078225,196,72282
all_background,T1/S01,close_minus_ema_21,0.8371421455847822,0.33714214558478217,high,2.707066061222463,0.07394893043635875,196,72276
all_background,T1/S01,bbands_20_bbp_20_2_0,0.8370074540324314,0.3370074540324314,high,0.8875797394065849,0.519193843112031,196,72277
all_background,T1/S01,roc_10,0.8357977975242333,0.33579779752423333,high,0.2460874406138962,0.0061961817837683595,196,72286
all_background,T1/S01,mom_10,0.8340219716805184,0.3340219716805184,high,3.6299999999999955,0.08999999999991815,196,72286
all_background,T1/S01,hma_16_slope_4,0.8304047578574281,0.33040475785742807,high,1.955793300653454,0.03295710784232142,196,72274
all_background,T1/S01,roc_20,0.829206649453738,0.329206649453738,high,0.3857616244675037,0.010652301292930665,196,72276
