strategy,open_layer_count,candidate_count,positive_count,move_q10,move_q25,move_median,move_q75,q25_precision,q25_recall,q25_f1,threshold,matched,true_positive,false_positive,total_positive,precision,recall,f1,base_rate,precision_lift_vs_base
T4/S08,3,1012,8,1.1149999999998272,1.397499999999809,1.5199999999999818,1.9783333333331257,0.2857142857142857,0.75,0.4137931034482759,1.397499999999809,21,6,15,8,0.2857142857142857,0.75,0.4137931034482759,0.007905138339920948,36.142857142857146
T5/S09,1,6656,38,1.8639999999998964,2.125000000000057,2.455000000000041,3.177500000000066,0.0319634703196347,0.7368421052631579,0.0612691466083151,1.8639999999998964,916,34,882,38,0.03711790393013101,0.8947368421052632,0.07127882599580714,0.005709134615384615,6.501493909446105
T5/S09,2,6508,8,1.6920000000000073,1.86749999999995,2.292500000000132,2.6637499999999363,0.13043478260869565,0.75,0.22222222222222218,2.292500000000132,28,4,24,8,0.14285714285714285,0.5,0.22222222222222224,0.001229256299938537,116.21428571428572
T5/S10,1,12380,62,-0.009999999999990905,0.5549999999998931,1.275000000000091,2.982499999999959,0.01964133219470538,0.7419354838709677,0.03826955074875208,2.982499999999959,204,16,188,62,0.0784313725490196,0.25806451612903225,0.12030075187969926,0.005008077544426494,15.660974067046174
T5/S10,2,5730,13,-0.4860000000001491,0.22000000000002728,2.25,3.711599281221879,0.006868131868131868,0.7692307692307693,0.013614703880190605,3.711599281221879,130,4,126,13,0.03076923076923077,0.3076923076923077,0.05594405594405595,0.002268760907504363,13.562130177514792
T6/S12,1,5875,61,0.790000000000191,1.1699999999998454,1.3899999999998727,1.9100000000000819,0.071875,0.7540983606557377,0.13124108416547786,1.1699999999998454,640,46,594,61,0.071875,0.7540983606557377,0.13124108416547786,0.010382978723404256,6.9223872950819665
T6/S12,2,4160,29,0.9700000000001182,1.099999999999909,1.4750000000001364,1.8700000000003456,0.18032786885245902,0.7586206896551724,0.2913907284768212,1.099999999999909,122,22,100,29,0.18032786885245902,0.7586206896551724,0.2913907284768212,0.0069711538461538465,25.867721876766534
T6/S12,3,5495,11,0.9499999999998181,1.0100000000002183,1.2633333333333212,1.5483333333332894,0.21052631578947367,0.7272727272727273,0.32653061224489793,1.2633333333333212,13,6,7,11,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.002001819836214741,230.55944055944056
T6/S12,4,3317,18,0.8584999999999354,0.9475000000001046,1.452499999999759,1.903750000000116,0.03812316715542522,0.7222222222222222,0.07242339832869081,0.8584999999999354,352,16,336,18,0.045454545454545456,0.8888888888888888,0.08648648648648649,0.005426590292432921,8.376262626262626
T6/S12,5,3391,11,1.1900000000000546,1.3239999999999554,1.3880000000001473,2.0149999999998727,0.5,0.7272727272727273,0.5925925925925926,1.1900000000000546,20,10,10,11,0.5,0.9090909090909091,0.6451612903225806,0.0032438808611029196,154.13636363636363
T6/S12,6,1310,13,0.9900000000000546,1.5199999999999818,1.6399999999998727,1.8799999999998818,0.6666666666666666,0.7692307692307693,0.7142857142857142,1.5199999999999818,15,10,5,13,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.009923664122137405,67.17948717948717
