basket_id,strategy,direction,entry_time,exit_time,holding_min,max_layers,exit_move,min_close_move,max_close_move,max_adverse_points,max_favorable_points
1156,T3/S06,short,2018-01-25 23:30:00,2018-01-25 23:42:00,12.0,1,1.0600000000001728,0.4500000000000455,1.0600000000001728,0.0,1.0600000000001728
1157,T3/S06,short,2018-02-06 23:40:00,2018-02-07 14:18:00,878.0,3,1.4199999999998454,-6.0499999999999545,1.4199999999998454,6.0499999999999545,1.4199999999998454
1158,T3/S06,short,2018-02-16 23:00:00,2018-02-16 23:31:00,31.0,1,0.75,-0.07999999999992724,0.8400000000001455,0.07999999999992724,0.8400000000001455
1159,T3/S06,short,2018-02-16 23:40:00,2018-02-16 23:43:00,3.0,1,0.540000000000191,0.20000000000004547,0.6800000000000637,0.0,0.6800000000000637
1160,T3/S06,short,2018-02-16 23:50:00,2018-02-19 05:57:00,3247.0,2,0.6950000000001637,-3.2100000000000364,0.6950000000001637,3.2100000000000364,0.6950000000001637
1161,T3/S06,short,2018-05-14 23:30:00,2018-05-15 07:26:00,476.0,1,0.8399999999999181,-1.0399999999999636,0.8399999999999181,1.0399999999999636,0.8399999999999181
1162,T3/S06,short,2018-05-31 23:30:00,2018-05-31 23:47:00,17.0,1,0.5899999999999181,-0.14000000000010004,0.75,0.14000000000010004,0.75
1163,T3/S06,short,2018-05-31 23:50:00,2018-06-01 13:51:00,841.0,1,0.5499999999999545,-2.1700000000000728,0.75,2.1700000000000728,0.75
1164,T3/S06,short,2018-07-02 23:00:00,2018-07-03 04:44:00,344.0,1,1.4100000000000819,-2.869999999999891,1.4100000000000819,2.869999999999891,1.4100000000000819
1165,T3/S06,short,2018-07-11 23:00:00,2018-07-12 04:00:00,300.0,1,0.650000000000091,-1.240000000000009,0.8500000000001364,1.240000000000009,0.8500000000001364
1166,T3/S06,short,2018-08-02 23:00:00,2018-08-02 23:23:00,23.0,1,0.7200000000000273,0.049999999999954525,0.7200000000000273,0.0,0.7200000000000273
1167,T3/S06,short,2018-08-02 23:30:00,2018-08-02 23:33:00,3.0,1,0.5500000000001819,0.009999999999990905,0.7400000000000091,0.0,0.7400000000000091
