target_mode,feature,operator,threshold,matched,precision,recall,f1
quick_low,mfe_30m,>=,0.6800000000000637,54,0.5555555555555556,0.8823529411764706,0.6818181818181819
quick_low,mfe_5m,>=,0.14999999999997726,54,0.5185185185185185,0.8235294117647058,0.6363636363636364
quick_low,mfe_5m,>=,0.6825000000002319,27,0.7037037037037037,0.5588235294117647,0.6229508196721312
quick_low,mae_5m,>=,-0.10999999999984311,27,0.7037037037037037,0.5588235294117647,0.6229508196721312
quick_low,mfe_30m,>=,1.4350000000000591,27,0.7037037037037037,0.5588235294117647,0.6229508196721312
quick_low,mfe_30m,>=,0.023749999999893134,81,0.41975308641975306,1.0,0.5913043478260869
quick_low,mae_30m,>=,-0.8150000000000546,54,0.48148148148148145,0.7647058823529411,0.5909090909090909
quick_low,early_adverse_max,<=,0.8149999999999409,54,0.48148148148148145,0.7647058823529411,0.5909090909090909
quick_low,mae_30m,>=,-1.6799999999998931,81,0.4074074074074074,0.9705882352941176,0.5739130434782609
quick_low,early_adverse_max,<=,1.6799999999998931,81,0.4074074074074074,0.9705882352941176,0.5739130434782609
quick_low,mae_30m,>=,-0.26499999999998636,27,0.6296296296296297,0.5,0.5573770491803278
quick_low,early_adverse_max,<=,0.26499999999998636,27,0.6296296296296297,0.5,0.5573770491803278
overnight_medium,mfe_5m,<=,0.6825000000002319,81,0.3950617283950617,0.9411764705882353,0.5565217391304348
overnight_medium,mae_5m,<=,-0.10999999999984311,81,0.3950617283950617,0.9411764705882353,0.5565217391304348
quick_low,mfe_5m,>=,-0.2599999999999909,82,0.3902439024390244,0.9411764705882353,0.5517241379310345
overnight_medium,mfe_30m,<=,1.4350000000000591,81,0.38271604938271603,0.9117647058823529,0.5391304347826087
quick_low,entry_hour,>=,22.0,95,0.35789473684210527,1.0,0.5271317829457365
quick_low,entry_hour,>=,22.0,95,0.35789473684210527,1.0,0.5271317829457365
quick_low,entry_hour,>=,22.0,95,0.35789473684210527,1.0,0.5271317829457365
overnight_medium,mfe_5m,<=,0.14999999999997726,54,0.42592592592592593,0.6764705882352942,0.5227272727272728
overnight_medium,mfe_30m,<=,0.6800000000000637,54,0.42592592592592593,0.6764705882352942,0.5227272727272728
quick_low,mae_5m,>=,-0.38999999999998636,54,0.42592592592592593,0.6764705882352942,0.5227272727272728
overnight_medium,entry_hour,>=,22.0,95,0.3473684210526316,0.9705882352941176,0.5116279069767442
overnight_medium,entry_hour,>=,22.0,95,0.3473684210526316,0.9705882352941176,0.5116279069767442
overnight_medium,entry_hour,>=,22.0,95,0.3473684210526316,0.9705882352941176,0.5116279069767442
overnight_medium,mae_30m,<=,-0.26499999999998636,81,0.35802469135802467,0.8529411764705882,0.5043478260869566
overnight_medium,early_adverse_max,>=,0.26499999999998636,81,0.35802469135802467,0.8529411764705882,0.5043478260869566
quick_low,mae_5m,>=,-0.8200000000002206,81,0.35802469135802467,0.8529411764705882,0.5043478260869566
quick_low,entry_hour,<=,22.0,107,0.3177570093457944,1.0,0.48226950354609927
quick_low,entry_hour,<=,22.0,107,0.3177570093457944,1.0,0.48226950354609927
quick_low,entry_hour,<=,22.0,107,0.3177570093457944,1.0,0.48226950354609927
overnight_medium,entry_minute,>=,0.0,108,0.3148148148148148,1.0,0.4788732394366197
quick_low,entry_minute,>=,0.0,108,0.3148148148148148,1.0,0.4788732394366197
overnight_medium,mae_30m,>=,-1.6799999999998931,81,0.3333333333333333,0.7941176470588235,0.46956521739130425
overnight_medium,early_adverse_max,<=,1.6799999999998931,81,0.3333333333333333,0.7941176470588235,0.46956521739130425
overnight_medium,entry_hour,<=,22.0,107,0.308411214953271,0.9705882352941176,0.46808510638297873
overnight_medium,entry_hour,<=,22.0,107,0.308411214953271,0.9705882352941176,0.46808510638297873
overnight_medium,entry_hour,<=,22.0,107,0.308411214953271,0.9705882352941176,0.46808510638297873
overnight_medium,mfe_5m,<=,-0.2599999999999909,28,0.5,0.4117647058823529,0.45161290322580644
quick_low,entry_minute,<=,30.0,87,0.3103448275862069,0.7941176470588235,0.44628099173553715
quick_low,entry_minute,<=,20.0,70,0.32857142857142857,0.6764705882352942,0.44230769230769235
timeout_loss,mae_30m,<=,-1.6799999999998931,27,0.3333333333333333,0.6428571428571429,0.43902439024390244
timeout_loss,early_adverse_max,>=,1.6799999999998931,27,0.3333333333333333,0.6428571428571429,0.43902439024390244
overnight_medium,mae_5m,<=,-0.38999999999998636,54,0.35185185185185186,0.5588235294117647,0.4318181818181818
overnight_medium,mae_30m,<=,-0.8150000000000546,54,0.35185185185185186,0.5588235294117647,0.4318181818181818
overnight_medium,early_adverse_max,>=,0.8149999999999409,54,0.35185185185185186,0.5588235294117647,0.4318181818181818
overnight_medium,entry_minute,<=,30.0,87,0.2988505747126437,0.7647058823529411,0.42975206611570244
overnight_medium,entry_minute,>=,20.0,58,0.3275862068965517,0.5588235294117647,0.4130434782608695
quick_low,entry_minute,>=,20.0,58,0.3275862068965517,0.5588235294117647,0.4130434782608695
overnight_medium,entry_minute,<=,20.0,70,0.3,0.6176470588235294,0.40384615384615385
overnight_medium,mae_5m,>=,-0.8200000000002206,81,0.2839506172839506,0.6764705882352942,0.4
overnight_medium,mfe_30m,<=,0.023749999999893134,27,0.4444444444444444,0.35294117647058826,0.39344262295081966
overnight_medium,entry_minute,>=,30.0,33,0.3939393939393939,0.38235294117647056,0.38805970149253727
overnight_medium,mfe_30m,>=,0.023749999999893134,81,0.2716049382716049,0.6470588235294118,0.3826086956521739
timeout_loss,mae_30m,<=,-0.8150000000000546,54,0.24074074074074073,0.9285714285714286,0.3823529411764706
timeout_loss,early_adverse_max,>=,0.8149999999999409,54,0.24074074074074073,0.9285714285714286,0.3823529411764706
overnight_medium,entry_minute,<=,0.0,37,0.35135135135135137,0.38235294117647056,0.3661971830985916
overnight_medium,mfe_5m,>=,-0.2599999999999909,82,0.25609756097560976,0.6176470588235294,0.36206896551724144
overnight_medium,mae_5m,<=,-0.8200000000002206,27,0.4074074074074074,0.3235294117647059,0.36065573770491804
late_high,mae_30m,<=,-1.6799999999998931,27,0.2962962962962963,0.4444444444444444,0.3555555555555555
late_high,early_adverse_max,>=,1.6799999999998931,27,0.2962962962962963,0.4444444444444444,0.3555555555555555
timeout_loss,mae_5m,<=,-0.38999999999998636,54,0.2222222222222222,0.8571428571428571,0.35294117647058826
timeout_loss,mae_5m,<=,-0.8200000000002206,27,0.25925925925925924,0.5,0.3414634146341463
overnight_medium,mae_5m,>=,-0.38999999999998636,54,0.2777777777777778,0.4411764705882353,0.34090909090909094
overnight_medium,mae_30m,>=,-0.8150000000000546,54,0.2777777777777778,0.4411764705882353,0.34090909090909094
overnight_medium,early_adverse_max,<=,0.8149999999999409,54,0.2777777777777778,0.4411764705882353,0.34090909090909094
quick_low,entry_minute,<=,0.0,37,0.32432432432432434,0.35294117647058826,0.3380281690140845
quick_low,entry_minute,>=,30.0,33,0.3333333333333333,0.3235294117647059,0.3283582089552239
timeout_loss,mfe_30m,<=,0.6800000000000637,54,0.2037037037037037,0.7857142857142857,0.32352941176470584
