strategy,variant,rule,signal_bars,entry_count,exit_count,total_return_pct,max_drawdown_pct,sharpe_ratio,trade_count,win_rate_pct,total_profit
T2/S03,all_background,wma_21_minus_wma_50 >= 3.9578 AND ao >= 5.9092 AND roc_34 >= 0.8333,4528,494,494,1.6489999999999534,-1.4651113076669997,0.4566852623354686,494,36.43724696356275,164.89999999999532
T2/S03,matched_context,wma_50_slope_4 >= 1.3709 AND wma_21_minus_wma_50 >= 3.9578 AND sma_21_slope_4 >= 1.8114,5217,445,445,1.1414000000000055,-1.9686455317818319,0.30876520031952,445,41.79775280898876,114.14000000000055
T2/S04,all_background,roc_20 >= 0.7826 AND wma_21_minus_wma_50 >= 4.6549 AND wma_21_slope_4 >= 2.3062,2306,353,353,-0.7495000000000027,-1.855452844504668,-0.26443302815160175,353,36.827195467422094,-74.95000000000164
T2/S04,matched_context,adx_21_dmn_21 <= 11.2552 AND roc_34 >= 0.8966 AND sma_21_slope_4 >= 2.3986,1477,269,269,0.005199999999958891,-1.0042977243290951,0.0051266680310650065,269,37.174721189591075,0.5199999999963438
T5/S10,all_background,fisher_14 >= 2.8407 AND wma_8_minus_wma_21 >= 1.4301 AND adx_7_adx_7 >= 49.5708,4499,841,841,0.11900000000000092,-1.6591577813165115,0.046813081429504855,841,38.763376932223544,11.900000000000091
T5/S10,matched_context,fisher_9 >= 2.5008 AND sma_8_slope_4 >= 1.7187,6351,1459,1459,-1.6800000000000548,-2.3250492013363044,-0.4949621721204076,1459,37.76559287183002,-168.00000000000682
