strategy,feature,auc,auc_lift,direction,positive_median,background_median,positive_count,background_count
T1/S01,close_minus_wma_50,0.8302505047365842,0.33025050473658424,high,4.75743529411784,0.08290196078451118,377,142671
T1/S01,hma_32_slope_4,0.8294026162906079,0.32940261629060785,high,1.8998570261437635,0.017677584669854696,377,142681
T1/S01,mom_20,0.828497785229535,0.328497785229535,high,6.570000000000164,0.07999999999992724,377,142700
T1/S01,cmo_21,0.8280646118223696,0.32806461182236957,high,35.36269430051824,0.5929919137460783,377,142699
T1/S01,roc_10,0.82803357219209,0.32803357219208995,high,0.24009413800928622,0.003299381869631071,377,142710
T1/S01,rsi_5,0.8265021318516275,0.32650213185162746,high,73.70991263751243,50.48662174816966,377,142716
T1/S01,mom_10,0.8261167636617972,0.3261167636617972,high,3.730000000000018,0.049999999999954525,377,142710
T1/S01,adx_14_dmp_14,0.8242556082941846,0.32425560829418465,high,29.14413777296141,20.02641792315637,377,142707
T1/S01,cci_14,0.8241341782839761,0.32413417828397606,high,111.23617461992481,3.3578509753623202,377,142707
T1/S01,ao,0.821895233987605,0.321895233987605,high,4.191882352941093,0.07002941176460808,377,142687
T1/S01,hma_16_slope_4,0.8190727255308302,0.3190727255308302,high,2.0060383986929082,0.018133986928091872,377,142698
T1/S01,rsi_21,0.8097486426050088,0.3097486426050088,high,62.17161259805088,50.3172175030973,377,142700
T1/S01,sma_21_slope_4,0.8059662997473883,0.3059662997473883,high,1.1576190476189367,0.016190476190331538,377,142696
T1/S01,adx_21_dmn_21,0.19741430427581746,0.3025856957241826,low,14.087398462735141,20.738196980069368,377,142700
T1/S01,cci_34,0.8002879333795836,0.3002879333795836,high,114.22404786779133,4.4807671548302554,377,142687
T1/S01,close_minus_ema_50,0.7969875118632364,0.29698751186323635,high,5.415669166526186,0.12614670765856317,377,142671
T2/S03,wma_21_minus_wma_50,0.9400666782115328,0.4400666782115328,high,4.945970868347445,0.04252019353214109,318,142730
T2/S03,ao,0.9282528442348272,0.42825284423482723,high,7.097852941176598,0.0701911764704164,318,142746
T2/S03,roc_34,0.9266399752736716,0.4266399752736716,high,0.9004821905577718,0.009644958365933131,318,142745
T2/S03,wma_50_slope_4,0.9264587611553191,0.4264587611553191,high,1.6235882352941644,0.016478431372547675,318,142726
T2/S03,close_minus_sma_50,0.9223405387398558,0.4223405387398558,high,10.1798,0.11160000000006676,318,142730
T2/S03,mom_34,0.9216770526498521,0.4216770526498521,high,15.834999999999923,0.15000000000009095,318,142745
T2/S03,sma_21_minus_sma_50,0.9174460002106277,0.4174460002106277,high,6.577728571428793,0.06581904761901569,318,142730
T2/S03,sma_21_slope_4,0.9161920442928014,0.41619204429280143,high,2.147857142857333,0.016190476190331538,318,142755
T2/S03,ema_50_slope_4,0.9161807111255176,0.4161807111255176,high,1.332641710806456,0.019522998588172413,318,142726
T2/S03,ema_8_minus_ema_21,0.9115774172076342,0.4115774172076342,high,2.617041277378121,0.0313472198765794,318,142759
T2/S03,close_minus_wma_50,0.9092002778699457,0.4092002778699457,high,6.599792156862804,0.08307843137265536,318,142730
T2/S03,close_minus_ema_50,0.9075260409437355,0.40752604094373546,high,7.9532713437538405,0.12515237997752138,318,142730
T2/S03,ema_21_minus_ema_50,0.9012252539980709,0.40122525399807085,high,4.394802252463592,0.07345518299996456,318,142730
T2/S03,adx_21_dmn_21,0.10529078760127075,0.39470921239872925,low,12.879528875237636,20.739579523478046,318,142759
T2/S03,bbands_34_bbb_34_2_0,0.8934332671824968,0.3934332671824968,high,1.474890698345832,0.5180435571213236,318,142746
T2/S03,rsi_34,0.8926724488507405,0.3926724488507405,high,62.379635664155984,50.339169809427545,318,142746
T2/S03,rsi_21,0.8923904322898762,0.39239043228987625,high,64.90674648260122,50.31562207904986,318,142759
T2/S03,ema_21_slope_4,0.8812157831214098,0.3812157831214098,high,1.467147955300561,0.020206668755236024,318,142755
T2/S03,adx_14_dmn_14,0.12124447032426813,0.3787555296757319,low,11.79161650299545,20.48531084038476,318,142766
T2/S03,sma_50_slope_4,0.8721517532339972,0.3721517532339972,high,1.2477000000001226,0.024800000000141154,318,142726
T2/S03,adx_21_dmp_21,0.8661792506798083,0.3661792506798083,high,29.10800024306935,20.21699429619699,318,142759
T2/S03,rsi_14,0.8656975367265447,0.3656975367265447,high,65.42654337371756,50.35796610177681,318,142766
T2/S03,aroon_25_aroond_25,0.13659427358124895,0.363405726418751,low,0.0,43.99999999999999,318,142754
T2/S03,close_minus_ema_21,0.8549516819942093,0.35495168199420934,high,3.589140498941447,0.05018141415212085,318,142759
T2/S03,cmo_21,0.844346704600414,0.34434670460041406,high,37.596372712883756,0.6120891111832296,318,142758
T2/S03,adx_14_dmp_14,0.8393353701800113,0.33933537018001125,high,29.3034793731536,20.028679499834517,318,142766
T2/S03,adx_14_adx_14,0.8338256505763886,0.3338256505763886,high,41.212609861026344,23.393045765825455,318,142766
T2/S03,roc_20,0.8311112658924983,0.3311112658924983,high,0.4554706094052807,0.005229930143071189,318,142759
T2/S03,mom_20,0.8288016933671167,0.32880169336711673,high,7.330000000000041,0.07999999999992724,318,142759
T2/S03,efi_13,0.8259518566556154,0.32595185665561544,high,582.0119525712988,1.2159199822742726,318,142766
T2/S03,aroon_25_aroonosc_25,0.8198560539955131,0.3198560539955131,high,76.0,7.9999999999999964,318,142754
T2/S03,wma_21_slope_4,0.8167192813301762,0.31671928133017624,high,1.3434415584420094,0.01562770562759397,318,142755
T2/S03,adx_21_adx_21,0.8000795729055797,0.30007957290557974,high,31.637809789577744,19.61377045685268,318,142759
T2/S03,adx_7_dmn_7,0.21086972428017964,0.2891302757198204,low,10.977587399263786,19.817671427774638,318,142773
T2/S03,rsi_8,0.7796306535802257,0.27963065358022565,high,65.20703208784577,50.42278826022623,318,142772
T2/S03,sma_8_minus_sma_21,0.7767030604113077,0.27670306041130766,high,1.9481250000001182,0.027321428571440265,318,142759
T2/S03,bbands_34_bbp_34_2_0,0.7635935915374867,0.26359359153748674,high,0.7789215445841411,0.5128160831617569,318,142746
T2/S03,close_minus_sma_21,0.760348035200812,0.26034803520081196,high,2.7492857142856337,0.04952380952386193,318,142759
T2/S03,cci_34,0.7568335743825049,0.25683357438250487,high,85.25071014804104,4.49641011990477,318,142746
T2/S03,fisher_14,0.756523759642929,0.25652375964292895,high,2.007654729430234,0.06637439164440154,318,142766
T2/S04,roc_20,0.958076590786,0.45807659078600005,high,0.8011833196623654,0.004880151610038914,378,142699
T2/S04,sma_21_slope_4,0.9567400017538423,0.45674000175384233,high,2.6671428571430624,0.01571428571423894,378,142695
T2/S04,ao,0.9556565432054269,0.4556565432054269,high,8.896985294117712,0.06919117647066741,378,142686
T2/S04,ema_8_minus_ema_21,0.9541850977179888,0.45418509771798876,high,3.8124862068420953,0.030764325182644825,378,142699
T2/S04,wma_21_minus_wma_50,0.9534421388314989,0.45344213883149886,high,5.258069365928122,0.04134840845438248,378,142670
T2/S04,mom_20,0.9524745745392,0.45247457453920004,high,13.879999999999882,0.07999999999992724,378,142699
T2/S04,wma_50_slope_4,0.9497613269517577,0.44976132695175775,high,1.9201607843136799,0.016152941176301283,378,142666
T2/S04,ema_50_slope_4,0.9475265683261982,0.4475265683261982,high,1.6457920689443881,0.019302631246546298,378,142666
T2/S04,close_minus_sma_50,0.947237214083783,0.44723721408378303,high,11.616100000000074,0.10960000000000036,378,142670
T2/S04,close_minus_wma_50,0.9463168046437128,0.4463168046437128,high,8.738701960784283,0.08145882352948774,378,142670
T2/S04,roc_34,0.9458882397733714,0.44588823977337144,high,0.9085968913423278,0.00937636164075699,378,142685
T2/S04,wma_21_slope_4,0.9447318076387069,0.4447318076387069,high,2.6059740259738646,0.01471861471873126,378,142695
T2/S04,ema_21_slope_4,0.9434544875099906,0.4434544875099906,high,2.317805517480906,0.019792151929323154,378,142695
T2/S04,sma_8_minus_sma_21,0.9429553793827544,0.4429553793827544,high,4.596934523809637,0.025297619047705666,378,142699
T2/S04,close_minus_ema_50,0.9420640668905896,0.44206406689058964,high,9.628785496299201,0.12355002695096573,378,142670
T2/S04,mom_34,0.9399171186464876,0.43991711864648764,high,15.850000000000023,0.15000000000009095,378,142685
T2/S04,adx_21_dmn_21,0.06397789760672472,0.4360221023932753,low,11.256311997141893,20.743048588458585,378,142699
T2/S04,rsi_34,0.9329827411016176,0.4329827411016176,high,64.1039649299939,50.33411747642651,378,142686
T2/S04,rsi_21,0.9320184295867376,0.43201842958673764,high,67.1708272757599,50.309881870890756,378,142699
T2/S04,ema_21_minus_ema_50,0.925281266607404,0.42528126660740395,high,4.27474140952927,0.07234514002948345,378,142670
T2/S04,cmo_21,0.9243875547730542,0.42438755477305423,high,44.08610747950791,0.5840060233252371,378,142698
T2/S04,close_minus_ema_21,0.9236490906544657,0.42364909065446565,high,5.209137145655291,0.04912560399930044,378,142699
T2/S04,adx_14_dmn_14,0.07722353583424596,0.4227764641657541,low,9.992084115463573,20.489544954787597,378,142706
T2/S04,close_minus_sma_21,0.9214460500366499,0.4214460500366499,high,5.8735714285712675,0.046666666666624224,378,142699
