basket_id,strategy,mode_at_exit,actual_exit_time,first_cross_time,lag_minutes,cross_found,variant
1435,T5/S10,21-23|<=30m,2020-06-15 22:30:00,,,False,tp_q25
1436,T5/S10,01-04|120-360m,2020-06-16 01:18:00,2020-06-15 22:51:00,147.0,True,tp_q25
1437,T5/S10,09-12|360-1440m,2020-07-10 11:14:00,2020-07-10 04:16:00,418.0,True,tp_q25
1438,T5/S10,21-23|<=30m,2020-08-25 22:35:00,,,False,tp_q25
1439,T5/S10,21-23|<=30m,2020-09-28 22:14:00,,,False,tp_q25
1440,T5/S10,21-23|<=30m,2020-09-28 22:57:00,2020-09-28 22:34:00,23.0,True,tp_q25
1441,T5/S10,21-23|<=30m,2020-11-04 22:56:00,2020-11-04 22:52:00,4.0,True,tp_q25
1442,T5/S10,21-23|<=30m,2021-01-06 22:04:00,2021-01-06 22:02:00,2.0,True,tp_q25
1443,T5/S10,01-04|120-360m,2021-01-07 01:27:00,2021-01-06 23:04:00,143.0,True,tp_q25
1444,T5/S10,21-23|30-120m,2021-01-12 22:37:00,2021-01-12 22:19:00,18.0,True,tp_q25
1445,T5/S10,09-12|30-120m,2021-01-13 11:48:00,,,False,tp_q25
1446,T5/S10,21-23|30-120m,2021-05-14 23:40:00,2021-05-14 22:58:00,42.0,True,tp_q25
1447,T5/S10,01-04|>1440m,2021-05-24 02:40:00,2021-05-21 23:17:00,3083.0,True,tp_q25
1448,T5/S10,01-04|120-360m,2021-05-28 02:44:00,2021-05-27 22:34:00,250.0,True,tp_q25
1449,T5/S10,13-16|360-1440m,2021-05-28 15:48:00,2021-05-28 15:47:00,1.0,True,tp_q25
1450,T5/S10,01-04|120-360m,2021-06-08 03:43:00,2021-06-07 22:31:00,312.0,True,tp_q25
1451,T5/S10,01-04|120-360m,2021-06-11 01:35:00,2021-06-10 23:11:00,144.0,True,tp_q25
1452,T5/S10,01-04|120-360m,2021-06-16 01:06:00,2021-06-15 23:21:00,105.0,True,tp_q25
1453,T5/S10,05-08|120-360m,2021-06-16 07:30:00,,,False,tp_q25
1454,T5/S10,05-08|360-1440m,2021-09-01 06:50:00,2021-08-31 22:34:00,496.0,True,tp_q25
1455,T5/S10,21-23|30-120m,2021-12-22 23:00:00,2021-12-22 22:35:00,25.0,True,tp_q25
1456,T5/S10,21-23|<=30m,2022-01-11 22:30:00,2022-01-11 22:30:00,0.0,True,tp_q25
1457,T5/S10,01-04|120-360m,2022-02-08 03:46:00,,,False,tp_q25
1458,T5/S10,13-16|360-1440m,2022-02-08 15:36:00,2022-02-08 15:35:00,1.0,True,tp_q25
