strategy,basket_count,negative_exit_count,hold_median,hold_q75,hold_q90,hold_q95,adverse_median,adverse_q75,adverse_q90,exit_move_q10,exit_move_median,max_layers_median,max_layers_max
T3/S06,99,1,75.0,430.5,3005.2,3131.899999999999,1.0399999999999636,3.0149999999998727,4.87100000000005,0.47600000000020376,0.8599999999999,1.0,188
T6/S12,166,0,45.0,123.25,405.0,571.5,1.615000000000009,2.6249999999998863,5.462500000000205,0.9258333333333439,1.4775000000000773,2.0,25
