strategy,rule_size,rule,matched,true_positive,false_positive,precision,recall,total_positive,base_rate,precision_lift_vs_base,score
T2/S04,3,sma_21_slope_4 >= 2.6671 AND wma_21_minus_wma_50 >= 5.2581 AND mom_20 >= 13.8800,2325,154,2171,0.06623655913978495,0.4074074074074074,378,0.0026415648126795113,25.074743130227,0.0269852648347272
T2/S04,3,sma_21_slope_4 >= 2.6671 AND wma_21_minus_wma_50 >= 5.2581 AND ema_50_slope_4 >= 1.6458,2362,155,2207,0.06562235393734124,0.41005291005291006,378,0.0026415648126795113,24.842227463946347,0.026908637196528817
T2/S04,3,sma_21_slope_4 >= 2.6671 AND wma_21_minus_wma_50 >= 5.2581 AND wma_50_slope_4 >= 1.9202,2520,160,2360,0.06349206349206349,0.42328042328042326,378,0.0026415648126795113,24.035777273872508,0.02687494750986814
T2/S04,3,sma_21_slope_4 >= 2.6671 AND ao >= 8.8970 AND ema_8_minus_ema_21 >= 3.8125,2820,169,2651,0.0599290780141844,0.4470899470899471,378,0.0026415648126795113,22.68696104919509,0.026793688318511016
T2/S04,3,sma_21_slope_4 >= 2.6671 AND ema_8_minus_ema_21 >= 3.8125 AND wma_50_slope_4 >= 1.9202,2625,163,2462,0.06209523809523809,0.4312169312169312,378,0.0026415648126795113,23.506990173847313,0.02677651801461325
T3/S06,2,adx_21_dmp_21 <= 11.1566 AND ema_21_minus_ema_50 <= -4.5039,2031,28,2003,0.013786312161496799,0.3373493975903614,83,0.0005800261361174588,23.768432667153103,0.0046508041026736184
T3/S06,2,rsi_34 <= 36.1488 AND ema_21_minus_ema_50 <= -4.5039,2537,29,2508,0.011430823807646828,0.3493975903614458,83,0.0005800261361174588,19.707428848226964,0.0039939022942380486
T3/S06,3,adx_21_dmp_21 <= 11.1566 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_sma_50 <= -9.0588,1911,25,1886,0.013082155939298797,0.30120481927710846,83,0.0005800261361174588,22.554424921034215,0.003940408415451445
T3/S06,3,adx_21_dmp_21 <= 11.1566 AND wma_50_slope_4 <= -1.4494 AND ema_21_minus_ema_50 <= -4.5039,1951,25,1926,0.012813941568426449,0.30120481927710846,83,0.0005800261361174588,22.092007188158068,0.003859620954345316
T3/S06,3,adx_21_dmp_21 <= 11.1566 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_ema_50 <= -7.1314,1973,25,1948,0.012671059300557527,0.30120481927710846,83,0.0005800261361174588,21.84566955098651,0.0038165841266739543
T3/S06,3,adx_21_dmp_21 <= 11.1566 AND ema_50_slope_4 <= -1.2138 AND ema_21_minus_ema_50 <= -4.5039,1987,25,1962,0.012581781580271767,0.30120481927710846,83,0.0005800261361174588,21.69174938303794,0.0037896932470698097
T3/S06,3,rsi_34 <= 36.1488 AND adx_21_dmp_21 <= 11.1566 AND ema_21_minus_ema_50 <= -4.5039,1635,22,1613,0.01345565749235474,0.26506024096385544,83,0.0005800261361174588,23.19836409859622,0.0035665598172506543
T3/S06,3,rsi_34 <= 36.1488 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_sma_50 <= -9.0588,2360,26,2334,0.011016949152542373,0.3132530120481928,83,0.0005800261361174588,18.993884010618746,0.0034510925056156832
T3/S06,3,rsi_34 <= 36.1488 AND rsi_21 <= 34.4900 AND ema_21_minus_ema_50 <= -4.5039,2190,25,2165,0.01141552511415525,0.30120481927710846,83,0.0005800261361174588,19.681052979039446,0.0034384111789624253
T3/S06,3,rsi_34 <= 36.1488 AND wma_50_slope_4 <= -1.4494 AND ema_21_minus_ema_50 <= -4.5039,2396,26,2370,0.010851419031719533,0.3132530120481928,83,0.0005800261361174588,18.708500110626144,0.0033992396966832272
T3/S06,3,rsi_34 <= 36.1488 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_ema_50 <= -7.1314,2446,26,2420,0.01062959934587081,0.3132530120481928,83,0.0005800261361174588,18.32606960959127,0.003329754011959531
T3/S06,3,rsi_34 <= 36.1488 AND ema_50_slope_4 <= -1.2138 AND ema_21_minus_ema_50 <= -4.5039,2448,26,2422,0.010620915032679739,0.3132530120481928,83,0.0005800261361174588,18.311097330498466,0.003327033624694858
T3/S06,3,rsi_21 <= 34.4900 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_sma_50 <= -9.0588,2290,25,2265,0.010917030567685589,0.30120481927710846,83,0.0005800261361174588,18.821618351133793,0.0032882622191824067
T3/S06,3,rsi_21 <= 34.4900 AND wma_50_slope_4 <= -1.4494 AND ema_21_minus_ema_50 <= -4.5039,2304,25,2279,0.010850694444444444,0.30120481927710846,83,0.0005800261361174588,18.707250878514056,0.0032682814591700137
T3/S06,3,rsi_21 <= 34.4900 AND ema_50_slope_4 <= -1.2138 AND ema_21_minus_ema_50 <= -4.5039,2345,25,2320,0.010660980810234541,0.30120481927710846,83,0.0005800261361174588,18.380173144604004,0.0032111387982634164
T3/S06,3,rsi_21 <= 34.4900 AND ema_21_minus_ema_50 <= -4.5039 AND close_minus_ema_50 <= -7.1314,2347,25,2322,0.010651896037494673,0.30120481927710846,83,0.0005800261361174588,18.364510449125003,0.0032084024209321307
T3/S06,2,rsi_21 <= 34.4900 AND ema_21_minus_ema_50 <= -4.5039,2372,25,2347,0.010539629005059023,0.30120481927710846,83,0.0005800261361174588,18.1709553221317,0.0031745870497165733
T3/S06,3,adx_21_dmp_21 <= 11.1566 AND rsi_21 <= 34.4900 AND ema_21_minus_ema_50 <= -4.5039,1660,20,1640,0.012048192771084338,0.24096385542168675,83,0.0005800261361174588,20.771810132094647,0.0029031789809841778
T3/S06,3,rsi_34 <= 36.1488 AND adx_21_dmp_21 <= 11.1566 AND wma_50_slope_4 <= -1.4494,2213,23,2190,0.010393131495707185,0.27710843373493976,83,0.0005800261361174588,17.918384790857967,0.00288002439037669
T4/S08,3,close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722 AND sma_50_slope_4 >= 2.2950,163,14,149,0.08588957055214724,0.2978723404255319,47,0.0003284485349098863,261.5008484532045,0.025584127398511944
T4/S08,3,close_minus_ema_50 >= 16.0722 AND ema_50_slope_4 >= 2.4320 AND adx_21_adx_21 >= 47.5722,165,14,151,0.08484848484848485,0.2978723404255319,47,0.0003284485349098863,258.3311411992263,0.025274016763378464
T4/S08,2,close_minus_ema_50 >= 16.0722 AND adx_21_adx_21 >= 47.5722,169,14,155,0.08284023668639054,0.2978723404255319,47,0.0003284485349098863,252.21679466196653,0.02467581518318016
