strategy,pre_open_layer_count,candidate_count,positive_count,positive_adverse_q25,positive_minutes_q25,positive_minutes_median,baseline_precision,baseline_recall,baseline_f1,adverse_threshold,min_minutes,matched,true_positive,false_positive,total_positive,precision,recall,f1,base_rate,precision_lift_vs_base
T2/S04,4,3470,18,1.4325000000001182,8.25,18.0,0.203125,0.7222222222222222,0.3170731707317073,1.7699999999999818,2.7,24,9,15,18,0.375,0.5,0.42857142857142855,0.005187319884726225,72.29166666666667
T2/S04,5,2613,10,1.5674999999999955,12.5,30.0,0.2692307692307692,0.7,0.3888888888888889,1.7699999999999818,5.0,8,5,3,10,0.625,0.5,0.5555555555555556,0.003827018752391887,163.3125
T2/S04,6,1256,16,1.6625000000000227,8.75,27.0,0.3333333333333333,0.75,0.46153846153846156,1.955000000000041,8.75,10,7,3,16,0.7,0.4375,0.5384615384615384,0.012738853503184714,54.949999999999996
T3/S06,1,6509,20,3.0049999999999386,75.0,111.0,0.46875,0.75,0.5769230769230769,3.174999999999841,4.800000000000001,13,10,3,20,0.7692307692307693,0.5,0.6060606060606061,0.0030726686126901215,250.34615384615384
T3/S06,2,3256,11,3.0200000000000955,75.5,144.0,0.47058823529411764,0.7272727272727273,0.5714285714285714,3.0200000000000955,9.0,15,8,7,11,0.5333333333333333,0.7272727272727273,0.6153846153846153,0.0033783783783783786,157.86666666666665
T4/S08,1,1656,23,1.6399999999999864,6.0,13.0,0.38636363636363635,0.7391304347826086,0.5074626865671641,1.6399999999999864,3.0,40,17,23,23,0.425,0.7391304347826086,0.5396825396825397,0.013888888888888888,30.6
T4/S08,2,838,16,1.6874999999998863,8.0,16.0,0.41379310344827586,0.75,0.5333333333333333,1.6874999999998863,7.0,25,12,13,16,0.48,0.75,0.5853658536585366,0.01909307875894988,25.139999999999997
T4/S08,3,1004,11,2.0049999999999955,8.0,13.0,0.16326530612244897,0.7272727272727273,0.26666666666666666,1.8199999999999363,0.0,54,10,44,11,0.18518518518518517,0.9090909090909091,0.30769230769230765,0.010956175298804782,16.9023569023569
T4/S08,4,350,12,1.7975000000000705,2.75,5.5,0.4090909090909091,0.75,0.5294117647058824,1.7975000000000705,0.0,22,9,13,12,0.4090909090909091,0.75,0.5294117647058824,0.03428571428571429,11.931818181818182
T5/S09,1,6620,14,5.027500000000032,23.75,104.0,0.3225806451612903,0.7142857142857143,0.4444444444444444,5.574999999999932,0.0,14,7,7,14,0.5,0.5,0.5,0.0021148036253776435,236.42857142857142
T5/S09,2,6499,11,5.394999999999982,39.5,118.0,0.5714285714285714,0.7272727272727273,0.64,5.394999999999982,0.0,14,8,6,11,0.5714285714285714,0.7272727272727273,0.64,0.0016925680873980612,337.6103896103896
T5/S09,3,4569,9,5.490000000000009,33.0,115.0,0.6363636363636364,0.7777777777777778,0.7000000000000001,5.490000000000009,33.0,8,6,2,9,0.75,0.6666666666666666,0.7058823529411765,0.001969796454366382,380.75000000000006
T5/S10,1,12326,19,3.1849999999999454,174.0,310.0,0.42424242424242425,0.7368421052631579,0.5384615384615385,3.380000000000109,0.0,17,10,7,19,0.5882352941176471,0.5263157894736842,0.5555555555555555,0.001541457082589648,381.609907120743
T5/S10,2,5713,13,2.8300000000001546,61.0,130.0,0.2857142857142857,0.7692307692307693,0.41666666666666663,3.4300000000000637,0.0,12,7,5,13,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.0022755119901977944,256.35256410256414
T6/S12,1,5814,49,1.9500000000000455,7.0,44.0,0.3523809523809524,0.7551020408163265,0.48051948051948057,1.9500000000000455,5.0,92,35,57,49,0.3804347826086957,0.7142857142857143,0.4964539007092199,0.008427932576539388,45.13975155279503
T6/S12,2,4131,33,2.019999999999982,11.0,55.0,0.43103448275862066,0.7575757575757576,0.5494505494505494,2.019999999999982,0.0,58,25,33,33,0.43103448275862066,0.7575757575757576,0.5494505494505494,0.007988380537400145,53.957680250783696
T6/S12,3,5484,26,1.9524999999998727,22.25,40.0,0.3958333333333333,0.7307692307692307,0.5135135135135135,1.9524999999998727,15.0,45,19,26,26,0.4222222222222222,0.7307692307692307,0.5352112676056338,0.004741064916119621,89.05641025641026
T6/S12,4,3299,16,1.8875000000000455,16.0,31.5,0.35294117647058826,0.75,0.48,2.3350000000000364,8.0,15,8,7,16,0.5333333333333333,0.5,0.5161290322580646,0.004849954531676266,109.96666666666667
T6/S12,5,3380,13,1.9800000000000182,8.0,23.0,0.4166666666666667,0.7692307692307693,0.5405405405405406,1.9800000000000182,6.2,20,9,11,13,0.45,0.6923076923076923,0.5454545454545455,0.0038461538461538464,117.0
T6/S12,6,1297,10,1.849999999999909,27.0,41.5,0.23333333333333334,0.7,0.35,1.849999999999909,15.0,27,7,20,10,0.25925925925925924,0.7,0.37837837837837834,0.007710100231303007,33.62592592592592
