layers_exit,basket_count,exit_move_median,exit_move_q25,exit_move_q75,max_close_move_median,retrace_median,holding_median,max_to_exit_median,max_to_exit_within_1m_pct
1,62,1.275000000000091,0.5549999999998931,2.982499999999959,1.5800000000001546,0.09500000000002728,190.5,1.0,77.41935483870968
2,13,2.25,0.22000000000002728,3.711599281221879,2.25,0.09000000000014552,276.0,1.0,84.61538461538461
3,6,2.6983333333333803,2.111666666666622,3.1100000000001273,3.101666666666688,0.08000000000004093,953.0,1.0,83.33333333333334
4,7,3.3299999999999272,2.475282608695693,3.5049999999999955,3.519999999999982,0.20000000000004547,637.0,1.0,100.0
5,3,2.0,0.33999999999991815,3.074999999999818,2.1700000000000728,0.17000000000007276,271.0,1.0,66.66666666666666
6,5,2.0399999999997362,2.0199999999997544,2.2419084581310926,2.149999999999636,0.009999999999990905,371.0,1.0,100.0
7,1,2.7600000000002183,2.7600000000002183,2.7600000000002183,2.7600000000002183,0.0,6.0,0.0,100.0
8,6,1.3299999999999272,0.08499999999975216,1.6075000000003001,1.580000000000041,0.13999999999998636,10.0,0.5,83.33333333333334
9,2,2.2450000000001182,2.032500000000141,2.4575000000000955,2.3050000000000637,0.05999999999994543,17.5,0.5,100.0
13,1,4.740000000000009,4.740000000000009,4.740000000000009,7.190000000000055,2.4500000000000455,252.0,1.0,100.0
20,1,2.1550000000004275,2.1550000000004275,2.1550000000004275,2.1550000000004275,0.0,3283.0,0.0,100.0
28,1,4.309361106749975,4.309361106749975,4.309361106749975,5.46936110674983,1.1599999999998545,3971.0,1.0,100.0
