basket_id,strategy,direction,entry_time,actual_exit_time,sim_exit_time,sim_closed,sim_layer_count,actual_layer_count,sim_entry_vwap,sim_exit_price,sim_exit_move_points,sim_pnl_est,actual_pnl_est,variant
1,T1/S01,long,2018-01-02 22:00:00,2018-01-02 22:33:00,2018-01-02 22:32:00,True,1,1,1316.1899999999998,1316.91,0.7200000000002547,14.400000000000546,14.600000000000366,move_q25
2,T1/S01,long,2018-01-02 22:36:00,2018-01-02 23:14:00,2018-01-02 23:13:00,True,1,1,1318.04,1318.76,0.7200000000000273,14.400000000000546,14.400000000000546,move_q25
3,T1/S01,long,2018-01-02 23:18:00,2018-01-03 01:21:00,2018-01-03 01:32:00,True,1,1,1318.17,1318.83,0.6599999999998545,13.19999999999709,10.799999999999272,move_q25
460,T2/S03,long,2018-01-04 22:00:00,2018-01-04 22:05:00,2018-01-04 22:04:00,True,1,1,1324.63,1325.66,1.0299999999999727,20.599999999999454,20.599999999999454,move_q25
461,T2/S03,long,2018-01-04 22:15:00,2018-01-04 23:24:00,2018-01-04 22:44:00,True,2,2,1322.0405027217419,1322.66,0.6194972782582227,1934.690000000339,26.599999999998545,move_q25
4,T1/S01,long,2018-01-04 22:18:00,2018-01-04 23:24:00,2018-01-04 23:21:00,True,2,2,1322.2756481481483,1323.03,0.7543518518516521,1629.3999999999596,15.399999999999636,move_q25
1492,T6/S12,short,2018-01-05 08:36:00,2018-01-05 10:20:00,2018-01-05 10:17:00,True,1,1,1318.7,1317.48,1.2200000000000273,24.400000000000546,21.19999999999891,move_q25
5,T1/S01,long,2018-01-08 23:00:00,2018-01-09 04:23:00,2018-01-09 04:02:00,True,3,3,1317.7871814507553,1318.39,0.6028185492448301,2833.8500000003705,34.80000000000018,move_q25
1313,T5/S09,long,2018-01-10 12:48:00,2018-01-10 12:50:00,2018-01-10 13:02:00,True,1,1,1320.32,1322.87,2.5499999999999545,50.99999999999909,41.60000000000309,move_q25
1314,T5/S09,long,2018-01-10 13:00:00,2018-01-10 13:04:00,2018-01-10 13:03:00,True,1,1,1321.44,1324.39,2.9500000000000455,59.00000000000091,59.00000000000091,move_q25
1315,T5/S09,long,2018-01-10 13:12:00,2018-01-11 16:59:00,2018-01-10 17:01:00,True,2,2,1317.29175900277,1319.55,2.2582409972299047,4891.349999999864,87.15000000000668,move_q25
6,T1/S01,long,2018-01-12 22:00:00,2018-01-12 22:13:00,2018-01-12 22:13:00,True,1,1,1337.79,1338.49,0.7000000000000455,14.700000000000953,10.709999999999809,move_q25
462,T2/S03,long,2018-01-12 22:15:00,2018-01-15 03:01:00,2018-01-15 01:06:00,True,2,2,1335.8016453265045,1336.91,1.108354673495569,3462.50000000034,35.90999999999599,move_q25
7,T1/S01,long,2018-01-12 22:18:00,2018-01-15 03:01:00,2018-01-15 01:06:00,True,2,2,1335.8109023600184,1336.91,1.0990976399816645,2375.1500000002343,36.749999999995225,move_q25
1493,T6/S12,short,2018-01-17 08:12:00,2018-01-17 08:55:00,2018-01-17 08:54:00,True,1,1,1335.02,1333.5,1.5199999999999818,31.919999999999614,21.839999999999236,move_q25
8,T1/S01,long,2018-01-22 23:18:00,2018-01-23 03:22:00,2018-01-23 02:37:00,True,2,2,1333.317491901897,1333.9,0.5825080981030624,1258.8000000002958,44.31000000000745,move_q25
9,T1/S01,long,2018-01-23 22:00:00,2018-01-23 22:13:00,2018-01-23 22:12:00,True,1,1,1340.72,1341.49,0.7699999999999818,16.169999999999618,15.75,move_q25
