variant,basket_count,cross_found_count,cross_found_pct,within_1m_pct,within_5m_pct,lag_median,lag_q75,lag_q90
tp_q25,108,89,82.4074074074074,19.101123595505616,31.46067415730337,30.0,197.0,1512.6000000000056
oracle_final_mode_tp_q25,108,84,77.77777777777779,26.190476190476193,41.66666666666667,8.0,25.0,69.10000000000001
tp_median,108,64,59.25925925925925,29.6875,45.3125,10.5,158.25,438.5000000000002
oracle_final_mode_tp_median,108,60,55.55555555555556,41.66666666666667,63.33333333333333,2.0,11.5,32.90000000000003
tp_q75,108,41,37.96296296296296,39.02439024390244,41.46341463414634,8.0,142.0,591.0
oracle_final_mode_tp_q75,108,35,32.407407407407405,51.42857142857142,54.285714285714285,1.0,11.0,22.0
tp_q90,108,24,22.22222222222222,50.0,62.5,1.5,48.25,417.49999999999994
oracle_final_mode_tp_q90,108,23,21.296296296296298,60.86956521739131,78.26086956521739,1.0,4.5,20.6
