basket_id,entry_time,layers_exit,holding_min,exit_move,max_close_move,max_touch_move,min_close_move,retrace_from_max_to_exit,time_of_max,exit_time,minutes_max_to_exit
1384,2018-01-02 22:00:00,1,55.0,1.6400000000001,2.040000000000191,2.1400000000001,-0.4699999999997999,0.40000000000009095,2018-01-02 22:54:00,2018-01-02 22:55:00,1.0
1385,2018-01-23 22:20:00,1,196.0,1.2699999999999818,1.349999999999909,1.3899999999998727,-0.5299999999999727,0.07999999999992724,2018-01-24 01:35:00,2018-01-24 01:36:00,1.0
1386,2018-02-14 22:00:00,1,235.0,3.550000000000182,3.680000000000291,3.810000000000173,-3.2600000000004457,0.13000000000010914,2018-02-15 01:54:00,2018-02-15 01:55:00,1.0
1387,2018-03-02 22:10:00,1,3156.0,2.0,2.0599999999999454,2.2100000000000364,-2.1900000000000546,0.05999999999994543,2018-03-05 02:45:00,2018-03-05 02:46:00,1.0
1388,2018-04-09 22:00:00,1,309.0,0.30999999999994543,0.30999999999994543,0.35999999999989996,-2.339999999999918,0.0,2018-04-10 03:09:00,2018-04-10 03:09:00,0.0
1389,2018-04-10 05:11:00,1,562.0,4.309999999999945,4.329999999999927,4.529999999999973,-3.0,0.01999999999998181,2018-04-10 14:32:00,2018-04-10 14:33:00,1.0
1390,2018-04-27 22:30:00,1,3192.0,0.4800000000000182,0.5699999999999363,0.6200000000001182,-1.8699999999998909,0.08999999999991815,2018-04-30 03:41:00,2018-04-30 03:42:00,1.0
1391,2018-04-30 07:46:00,4,752.0,3.384999999999991,3.5850000000000364,4.125,-6.740000000000009,0.20000000000004547,2018-04-30 20:17:00,2018-04-30 20:18:00,1.0
1392,2018-05-08 22:30:00,1,236.0,-0.06999999999993634,0.16000000000008185,0.22000000000002728,-1.8299999999999272,0.2300000000000182,2018-05-09 02:25:00,2018-05-09 02:26:00,1.0
1393,2018-05-09 04:01:00,3,680.0,3.1566666666667516,3.77666666666687,4.316666666666833,-4.764999999999873,0.6200000000001182,2018-05-09 15:20:00,2018-05-09 15:21:00,1.0
1394,2018-10-10 22:20:00,1,38.0,0.8599999999999,0.8999999999998636,0.9699999999997999,-0.5200000000002092,0.03999999999996362,2018-10-10 22:57:00,2018-10-10 22:58:00,1.0
1395,2018-10-29 22:10:00,6,3556.0,2.3466666666665787,2.3466666666665787,2.446666666666488,-9.503999999999905,0.0,2018-11-01 09:26:00,2018-11-01 09:26:00,0.0
1396,2018-12-07 22:00:00,1,3063.0,0.5499999999999545,0.6199999999998909,0.6199999999998909,-2.2100000000000364,0.06999999999993634,2018-12-10 01:02:00,2018-12-10 01:03:00,1.0
1397,2018-12-10 10:45:00,2,1466.0,3.459999999999809,3.5499999999999545,3.6499999999998636,-3.650000000000091,0.09000000000014552,2018-12-11 11:10:00,2018-12-11 11:11:00,1.0
1398,2019-01-22 22:00:00,3,1223.0,2.426666666666506,2.426666666666506,2.426666666666506,-4.7800000000002,0.0,2019-01-23 18:23:00,2019-01-23 18:23:00,0.0
1399,2019-02-15 22:00:00,1,3188.0,2.2999999999999545,2.3299999999999272,2.400000000000091,-0.9300000000000637,0.029999999999972715,2019-02-18 03:07:00,2019-02-18 03:08:00,1.0
1400,2019-03-05 22:00:00,1,245.0,1.740000000000009,1.8599999999999,1.9399999999998272,-0.2300000000000182,0.11999999999989086,2019-03-06 02:04:00,2019-03-06 02:05:00,1.0
1401,2019-03-11 22:20:00,1,387.0,2.089999999999918,2.089999999999918,2.1499999999998636,-1.3600000000001273,0.0,2019-03-12 04:46:00,2019-03-12 04:47:00,1.0
1402,2019-03-20 22:00:00,1,328.0,2.0499999999999545,2.0699999999999363,2.269999999999982,-2.1800000000000637,0.01999999999998181,2019-03-21 03:27:00,2019-03-21 03:28:00,1.0
