variant,strategy,trade_count,closed_rate_pct,unclosed_count,win_rate_pct,total_points,avg_points,median_points,worst_trade_points,max_drawdown_points,avg_layers
all_background,T1/S01,1270,100.0,0,100.0,1789.0600000000074,1.4087086614173288,0.8099999999999454,0.5599999999999454,0.0,1.3748031496062991
all_background,T2/S03,484,100.0,0,100.0,542.0800000000052,1.1200000000000108,0.8000000000001819,0.4900000000000091,0.0,1.2541322314049588
all_background,T2/S04,348,100.0,0,100.0,379.54000000000224,1.0906321839080524,0.8150000000001683,0.43000000000006366,0.0,1.235632183908046
all_background,T3/S06,452,99.77876106194691,1,99.77876106194691,-73.0999999999882,-0.16172566371678807,1.1600000000000819,-771.3299999999925,-771.3299999999925,1.1946902654867257
all_background,T4/S08,14,100.0,0,100.0,56.83999999999901,4.059999999999929,2.8599999999999,1.8199999999999363,0.0,2.0
all_background,T5/S09,96,100.0,0,100.0,333.5799999999992,3.474791666666658,2.16499999999985,1.8699999999998909,0.0,1.4583333333333333
all_background,T6/S12,381,99.73753280839895,1,99.73753280839895,-206.58999999999924,-0.542230971128607,1.5899999999999181,-1034.920000000001,-1034.920000000001,1.3517060367454068
matched_context,T1/S01,1946,100.0,0,100.0,2507.3499999999917,1.2884635149023596,0.7899999999999636,0.5599999999999454,0.0,1.1993833504624871
matched_context,T2/S03,441,100.0,0,100.0,516.6400000000037,1.1715192743764258,0.8600000000001273,0.4900000000000091,0.0,1.3650793650793651
matched_context,T2/S04,263,100.0,0,100.0,320.13999999999874,1.2172623574144439,0.849999999999909,0.43000000000006366,0.0,1.1863117870722433
matched_context,T3/S06,518,100.0,0,100.0,848.3399999999988,1.6377220077220054,1.1750000000000682,0.8399999999999181,0.0,1.164092664092664
matched_context,T4/S08,14,100.0,0,100.0,53.649999999998954,3.8321428571427822,2.2549999999999955,1.8199999999999363,0.0,1.9285714285714286
matched_context,T5/S09,140,100.0,0,100.0,434.9900000000011,3.1070714285714365,2.2350000000000136,1.8699999999998909,0.0,1.2357142857142858
matched_context,T6/S12,419,99.76133651551312,1,99.76133651551312,-125.90999999999917,-0.3005011933174205,1.5799999999999272,-1034.920000000001,-1034.920000000001,1.3842482100238664
